,entity_id,distribution,q_id
141,263338,{'Tuberculosis': 0},39
142,132272,"{'Constipation': 3, 'Intestine preparation before any surgery': 2}",39
143,263346,{'Anxiety disorder': 1},39
144,263361,{'Migraine': 0},39
145,263378,{'Schizophrenia': 1},39
146,263400,{'Increased blood pressure': 0},39
147,263420,{'Psoriasis': 1},39
148,263421,{'Parasitic worm infections': 0},39
149,263422,{'Skin disorders': 0},39
150,263447,{},39
151,263448,{'Muscle relaxation': 1},39
152,263463,{'dental pain': 1},39
153,132392,"{'Dermatitis': 4, 'Psoriasis': 1, 'Keratoses': 2, 'Others': 0}",39
154,132405,"{'Arthralgia': 1, 'Others': 0, 'Myalgia': 1}",39
155,263487,"{'Bacterial infections': 9, 'Bacterial skin infections': 8, 'Others': 0}",39
156,132424,{'Overactive urinary bladder': 0},39
157,263497,{'Polycystic ovary syndrome': 1},39
158,132430,"{'Psoriasis': 1, 'Skin disorders': 1, 'Allergic disorders': 1}",39
159,263511,{'Dehydration': 1},39
160,132440,{'Osteoporosis': 0},39
161,263523,{'Mania': 1},39
162,263539,{'Fungal infections': 0},39
163,263548,"{'Dandruff': 0, 'Fungal infections': 0}",39
164,132480,"{'Others': 1, 'Benign prostatic hyperplasia': 2}",39
165,132485,{'Myalgia': 0},39
166,132487,{'Increased blood pressure': 2},39
167,263561,{'Cough': 1},39
168,132489,"{'Atopic dermatitis': 2, 'Others': 0}",39
169,132492,{'Increased blood pressure': 0},39
170,263565,{'Type 2 diabetes': 1},39
171,132494,"{'Anaesthesia': 1, 'Others': 1}",39
172,132499,{'Fluid retention': 1},39
173,132500,{'Increased blood pressure': 2},39
174,263572,{'Increased blood pressure': 0},39
175,132504,{'Increased blood pressure': 1},39
176,132508,{'Increased blood pressure': 1},39
177,132510,{'Increased blood pressure': 0},39
178,132514,{'Fungal infections': 0},39
179,263588,{'Others': 0},39
180,132516,{'Male hypogonadism': 2},39
181,263608,{'Acidity': 1},39
182,132537,{'Syndrome of inappropriate antidiuretic hormone secretion': 0},39
183,132539,"{'Increased triglycerides levels in blood': 6, 'Increased cholesterol levels in blood': 6, 'Others': 0}",39
184,132543,{'Type 2 diabetes': 4},39
185,132544,{'Type 2 diabetes': 0},39
186,263617,{'Headache': 1},39
187,263620,"{'Stroke': 0, 'Others': 0}",39
188,263621,{'Nausea': 0},39
189,132561,{'Nutritional deficiencies': 1},39
190,263636,{'Hyperpigmentation': 1},39
191,132567,"{'Allergic disorders': 1, 'Others': 1, 'Asthma': 0}",39
192,263647,{'Acne': 2},39
193,132583,{'Increased blood pressure': 2},39
194,263659,{'Intestinal ulcers': 0},39
195,132597,{'Hormone Replacement Therapy': 1},39
196,263674,{'Type 2 diabetes': 1},39
197,132604,{'Gout': 1},39
198,263686,"{'Alcoholic fatty liver disease': 0, 'Non-alcoholic fatty liver': 2, 'Others': 1, 'Cholestatic liver diseases': 3}",39
199,263703,{'Allergic disorders': 0},39
200,263704,{'Menstural pain': 0},39
201,263707,{'Abdominal pain': 0},39
202,132642,{'Type 2 diabetes': 1},39
203,132646,{'Type 2 diabetes': 1},39
204,132673,"{'Skin disorders': 0, 'Allergic disorders': 0}",39
205,263749,{'Dandruff': 0},39
206,132688,{'Nutritional deficiencies': 1},39
207,132696,{'Neuropathic pain': 0},39
208,132703,"{'Cough': 0, 'Cough with mucus': 0}",39
209,132707,{'Diarrhoea': 1},39
210,263782,{'Others': 1},39
211,132739,{'Acidity': 1},39
212,263814,{'Mania': 1},39
213,263821,{'Epilepsy': 1},39
214,132751,{'Acidity': 0},39
215,263826,{'Acidity': 1},39
216,263833,"{'Myalgia': 1, 'Arthralgia': 1}",39
217,263836,"{'Anaesthesia': 0, 'Appetite stimulant': 0}",39
218,263837,{'Hypothyroidism': 1},39
219,263840,"{'Increased triglycerides levels in blood': 1, 'Increased cholesterol levels in blood': 1}",39
220,263841,"{'Bacterial infections': 5, 'Tuberculosis': 4}",39
221,263860,{'Menstural pain': 0},39
222,263880,{'Fungal infections': 1},39
223,263895,{'Benign prostatic hyperplasia': 1},39
224,132826,{'Others': 1},39
225,132828,"{'Pain': 1, 'Others': 5, 'Age related memory loss': 0, 'Stroke': 0}",39
226,132833,{'Bleeding': 1},39
227,263911,{'Schizophrenia': 1},39
228,263914,"{'Skin disorders': 0, 'Melasma': 0, 'Hyperpigmentation': 1, 'Acne': 0}",39
229,263915,{'Increased blood pressure': 0},39
230,263938,{'Fungal infections': 0},39
231,263944,{'Myalgia': 1},39
232,263950,{'Cough': 0},39
233,263953,"{'dental pain': 0, 'Pain': 1, 'Arthralgia': 1}",39
234,263962,{'Bleeding': 0},39
235,263966,{'Mania': 1},39
236,263993,{'Rheumatic disorder': 0},39
237,263997,{'Asthma': 1},39
238,263998,{'Epilepsy': 0},39
239,264004,{},39
240,264020,{'Irrigation solution for eye/nose': 1},39
241,264037,{'Nutritional deficiencies': 0},39
242,264048,"{'Myalgia': 0, 'Pain': 0}",39
243,264075,{'Myalgia': 0},39
244,264098,{},39
245,264123,{'Increased blood pressure': 1},39
246,264138,{'Mania': 1},39
247,264144,{'Iron deficiency anemia': 0},39
248,264156,{'Bacterial infections': 1},39
249,264162,"{'Stomach ulcers': 1, 'Acidity': 1}",39
250,264180,{'Bacterial infections': 1},39
251,264219,"{'Cholestatic liver diseases': 0, 'Non-alcoholic fatty liver': 1, 'Alcoholic fatty liver disease': 2}",39
252,264220,{'Phobia': 0},39
253,133155,{'Constipation': 5},39
254,264239,{'Nasal congestion': 0},39
255,264244,{'Increased blood pressure': 1},39
256,264245,{'Bleeding': 1},39
257,264286,{'Rheumatic disorder': 1},39
258,264287,{},39
259,264291,{'Hyperpigmentation': 1},39
260,264296,{'Cough': 0},39
261,264297,{'Fungal infections': 0},39
262,264302,"{'Others': 1, 'Schizophrenia': 1}",39
263,133230,{'Inflammation of gums': 1},39
264,264304,{'Stroke': 1},39
265,133256,"{'Dandruff': 14, 'Fungal infections': 9, 'Others': 0}",39
266,264333,{'Parasitic worm infections': 1},39
267,264335,{'Others': 0},39
268,264341,{'Anaesthesia': 1},39
269,264349,{'Organ transplantation': 1},39
270,264355,{},39
271,264363,{'Menstural pain': 0},39
272,264367,{'Increased blood pressure': 2},39
273,264368,{'Headache': 0},39
274,264375,{'Others': 1},39
275,264430,{'Others': 1},39
276,264473,{'Increased blood pressure': 0},39
277,264479,{'Fever': 0},39
278,264505,{'Psoriasis': 0},39
279,264531,"{'Menstural pain': 0, 'Myalgia': 0}",39
280,264538,"{'Acidity': 0, 'Intestinal ulcers': 0}",39
281,264546,{},39
282,264547,"{'Organ transplantation': 0, 'Others': 1}",39
283,264558,{'Dry cough': 1},39
284,264562,{},39
285,264563,{},39
286,264583,{'Increased blood pressure': 0},39
287,264586,{'Hormone Replacement Therapy': 5},39
288,264606,{'Fungal infections': 0},39
289,264626,{},39
290,264655,"{'Non-alcoholic fatty liver': 1, 'Cholestatic liver diseases': 1}",39
291,264673,{'Chronic hepatitis C virus': 1},39
292,264682,{'Stroke': 1},39
293,264689,"{'Skin disorders': 0, 'Keratoses': 1}",39
294,264712,{'Skin disorders': 1},39
295,133648,{'Type 2 diabetes': 6},39
296,133649,"{'Type 2 diabetes': 3, 'Polycystic ovary syndrome': 3}",39
297,133650,{'Type 2 diabetes': 1},39
298,264726,{'Migraine': 1},39
299,264743,{'Swelling': 1},39
300,264745,{'Glaucoma': 2},39
301,264776,"{""Wilson's disease"": 3, 'Others': 4, 'Rheumatoid Arthritis': 3}",39
302,264795,{'Vomiting': 0},39
303,264843,"{'Skin disorders': 2, 'Allergic disorders': 1, 'Others': 2}",39
304,264846,{'Hyperpigmentation': 1},39
305,264874,{'Depression': 0},39
306,264903,{'Rheumatoid Arthritis': 1},39
307,133832,{'Bacterial infections': 1},39
308,264905,{'Chronic obstructive pulmonary disorder': 0},39
309,264932,"{'Stroke': 1, 'Age related memory loss': 0}",39
310,264938,"{'Piles': 2, 'Others': 0}",39
311,264975,{},39
312,264987,{'Infections': 0},39
313,264990,{'Acute attack of migraine': 0},39
314,264993,{'Bacterial infections': 0},39
315,133926,{'Pain due to smooth muscle spasm': 1},39
316,133927,{'Anemia due to chronic kidney disease': 0},39
317,133928,"{'Anemia due to chronic kidney disease': 1, 'Anemia': 0}",39
318,265010,{'Bacterial infections': 2},39
319,265020,{'Increased blood pressure': 0},39
320,133954,{'Fungal infections': 1},39
321,265033,{'Bleeding': 0},39
322,133977,"{'Seasonal flu': 0, 'Others': 1}",39
323,133978,"{'Type 1 diabetes': 0, 'Type 2 diabetes': 2}",39
324,133979,"{'Type 1 diabetes': 0, 'Type 2 diabetes': 1}",39
325,133981,"{'Type 2 diabetes': 1, 'Type 1 diabetes': 3}",39
326,265057,"{'Bacterial infections': 1, 'Tuberculosis': 0}",39
327,265070,"{'Tuberculosis': 2, 'Bacterial infections': 2, 'Others': 0}",39
328,265078,{'Acute attack of migraine': 0},39
329,265079,{'Increased blood pressure': 0},39
330,265084,"{'Fever': 2, 'Pain during menstruation': 0}",39
331,265088,{},39
332,265090,{'Fungal infections': 0},39
333,134031,{'Nutritional deficiencies': 0},39
334,265106,{'Glaucoma': 0},39
335,134058,{'Post menopausal osteoporosis': 1},39
336,265135,{'Fungal infections': 0},39
337,265142,{},39
338,134086,{'Osteoporosis': 2},39
339,134090,{'Fever': 1},39
340,265168,{'Acidity': 0},39
341,265169,{'Chronic hepatitis C virus': 0},39
342,134103,{'Bleeding esophageal varices': 1},39
343,134104,"{'Acromegaly': 1, 'Others': 0}",39
344,265178,"{'Anxiety disorder': 2, 'Depression': 4, 'Phobia': 5}",39
345,134117,"{'Acidity': 6, 'Stomach ulcers': 5, 'Heartburn': 4}",39
346,265189,{'Asthma': 0},39
347,134118,"{'Acidity': 0, 'Stomach ulcers': 0}",39
348,265216,{'Headache': 0},39
349,265217,{'Infections': 2},39
350,265223,{'Bacterial infections': 0},39
351,134159,{'Female Infertility': 1},39
352,265233,"{'Atopic dermatitis': 1, 'Others': 1}",39
353,265252,{'Anaesthesia': 1},39
354,265277,{'Headache': 0},39
355,265286,{'Acute attack of migraine': 4},39
356,134215,{'Serious bacterial infections': 1},39
357,134225,{'Epilepsy': 3},39
358,134232,{'Bleeding': 2},39
359,265306,{'Increased blood pressure': 1},39
360,265310,{'Myalgia': 0},39
361,265318,{},39
362,134249,{'Heart attack': 1},39
363,134268,{'Local Anaesthesia': 1},39
364,134301,"{'Depression': 4, 'Anxiety disorder': 4, 'Obsessive-compulsive disorder': 1, 'Phobia': 4}",39
365,134307,"{'Arthralgia': 0, 'Headache': 1, 'Myalgia': 1, 'dental pain': 1}",39
366,265385,{'Neuropathic pain': 1},39
367,134321,{'Bacterial infections': 2},39
368,265400,{'Schizophrenia': 1},39
369,265405,{'Cough with mucus': 0},39
370,134339,{'Male hypogonadism': 1},39
371,134344,{'Acne': 0},39
372,265419,{'Premenstural syndrome': 1},39
373,134348,{'Acne': 5},39
374,134351,{'Bacterial infections': 0},39
375,134352,{'Chronic obstructive pulmonary disorder': 1},39
376,265428,{'Bacterial infections': 0},39
377,265435,{'Menstural pain': 0},39
378,265438,{'Increased triglycerides levels in blood': 0},39
379,134367,{'Type 2 diabetes': 1},39
380,134371,"{'Others': 2, 'Breast cancer': 0}",39
381,265445,{'Type 2 diabetes': 1},39
382,134374,{'Allergic disorders': 0},39
383,134375,{'Increased blood pressure': 1},39
384,265452,{'Others': 1},39
385,265469,{},39
386,134412,"{'Bacterial infections': 3, 'Others': 0}",39
387,134418,"{'Anaesthesia': 1, 'Allergic disorders': 1}",39
388,134428,{'Diabetic nerve disease': 2},39
389,134430,{'Allergic disorders': 0},39
390,134440,{'Increased blood pressure': 1},39
391,134441,"{'Increased blood pressure': 3, 'Others': 1}",39
392,134444,{'Angina': 2},39
393,134448,"{'Increased triglycerides levels in blood': 0, 'Increased cholesterol levels in blood': 1}",39
394,134449,{},39
395,134450,"{'Increased LDL levels in blood': 3, 'Increased cholesterol levels in blood': 3, 'Increased triglycerides levels in blood': 3}",39
396,134462,"{'Bacterial infections': 1, 'Others': 0, 'Bacterial skin infections': 1}",39
397,265534,{'Arrhythmias': 0},39
398,134468,{'Depression': 2},39
399,134472,"{'Increased blood pressure': 11, 'Angina': 1, 'Arrhythmias': 7, 'Heart attack': 4}",39
400,134479,"{'Bacterial infections': 5, 'Bacterial skin infections': 4}",39
401,134494,{'Bacterial infections': 0},39
402,134500,"{'Cough': 1, 'Others': 0}",39
403,134506,{'Male hypogonadism': 4},39
404,134507,"{'Increased triglycerides levels in blood': 3, 'Increased cholesterol levels in blood': 2}",39
405,265581,"{'Allergic disorders': 1, 'Anaesthesia': 1, 'Asthma': 0}",39
406,265582,{},39
407,134514,{},39
408,265587,"{'Others': 1, 'Fungal infections': 1, 'Skin disorders': 0}",39
409,134516,{'Increased blood pressure': 1},39
410,134518,{'Premenstural syndrome': 0},39
411,134519,{'Increased blood pressure': 10},39
412,134520,{},39
413,134523,{'Increased blood pressure': 3},39
414,134524,{'Increased blood pressure': 1},39
415,134538,{'Diabetic nerve disease': 1},39
416,134543,"{'Rheumatoid Arthritis': 1, 'Others': 0}",39
417,134545,"{'Increased blood pressure': 10, 'Arrhythmias': 2, 'Heart attack': 3, 'Angina': 9}",39
418,265622,{'Vertigo': 3},39
419,265631,{'Bacterial infections': 1},39
420,134563,{'Bacterial skin infections': 0},39
421,134564,{'Bacterial skin infections': 1},39
422,265638,"{'Bacterial infections': 3, 'Others': 2}",39
423,265644,{'Vomiting': 1},39
424,265671,{'Schizophrenia': 0},39
425,134603,{'Acne': 0},39
426,265699,{'Psoriasis': 1},39
427,265723,"{'Anxiety disorder': 0, 'Depression': 0}",39
428,134660,"{'Heartburn': 37, 'Stomach ulcers': 24, 'Acidity': 41, 'Others': 3, 'Intestinal ulcers': 22}",39
429,265736,{},39
430,265745,{'Vertigo': 0},39
431,265755,"{'Fever': 0, 'Arthralgia': 1}",39
432,265760,{'Dry cough': 1},39
433,265777,{'Age related memory loss': 1},39
434,265799,{'Others': 1},39
435,265808,{},39
436,265815,"{'Fever': 3, 'Myalgia': 3, 'dental pain': 3, 'Headache': 2, 'Others': 0}",39
437,265816,{'Muscle relaxation': 0},39
438,265827,{'Vertigo': 1},39
439,265844,"{""Parkinson's disease"": 0}",39
440,265900,{'Cough': 0},39
441,265902,{'Nasal congestion': 1},39
442,265906,{'Type 2 diabetes': 1},39
443,265911,{'Anaesthesia': 0},39
444,265935,{'Preterm labor': 4},39
445,265939,{'Fever': 0},39
446,265961,{'Fungal infections': 1},39
447,265981,{'Alcoholic fatty liver disease': 0},39
448,134915,"{'Bacterial infections': 5, 'Others': 1}",39
449,134931,{'Acne': 4},39
450,134933,{'Others': 1},39
451,266006,{'Increased blood pressure': 1},39
452,134937,"{'Asthma': 5, 'Chronic obstructive pulmonary disorder': 5, 'Anaesthesia': 1, 'Severe allergic reaction': 0}",39
453,134940,"{'Cough': 3, 'Cough with mucus': 1, 'Asthma': 5}",39
454,266013,{'Bacterial infections': 0},39
455,134954,{'Increased cholesterol levels in blood': 1},39
456,134956,"{'Bacterial skin infections': 1, 'Bacterial infections': 3}",39
457,266038,"{'Myalgia': 3, 'Fever': 3, 'Headache': 2, 'Arthralgia': 2, 'Others': 0}",39
458,134976,"{'Heart attack': 6, 'Others': 0, 'Unstable Angina': 6}",39
459,266062,{'Fever': 0},39
460,134993,"{'Asthma': 3, 'Anaesthesia': 1, 'Chronic obstructive pulmonary disorder': 2}",39
461,135001,"{'Fungal infections': 23, 'Nail infections': 13}",39
462,135002,{'Skin disorders': 1},39
463,266076,{'Hypothyroidism': 1},39
464,266077,"{'Acne': 0, 'Others': 0}",39
465,266078,"{'Bacterial infections': 3, 'Tuberculosis': 2}",39
466,135010,"{'Pancreatitis': 7, 'Indigestion': 1}",39
467,266086,{'Schizophrenia': 1},39
468,135015,"{'Polycystic ovary syndrome': 0, 'Type 2 diabetes': 0}",39
469,266088,{'Cholestatic liver diseases': 1},39
470,266100,{'Parasitic worm infections': 0},39
471,266101,{'Increased blood pressure': 0},39
472,135032,{'Bacterial infections': 3},39
473,266112,{'Hyperpigmentation': 0},39
474,135045,"{'Bacterial skin infections': 2, 'Others': 1, 'Bacterial infections': 1}",39
475,135062,"{'Migraine': 3, 'Others': 0, 'Epilepsy': 2}",39
476,266134,{'Tuberculosis': 2},39
477,135077,{'Type 2 diabetes': 1},39
478,135092,"{'Female Infertility': 1, 'Others': 1}",39
479,266164,{'Mania': 0},39
480,135099,{'Acidity': 1},39
481,266187,{'Mania': 1},39
482,135117,{'Myalgia': 0},39
483,266191,{'Asthma': 0},39
484,135126,"{'Osteoporosis': 2, 'Others': 1}",39
485,266209,"{'Amenorrhea': 0, 'Hormone Replacement Therapy': 0}",39
486,266210,"{'Leprosy': 1, 'Tuberculosis': 5, 'Others': 1}",39
487,266217,{'Bacterial infections': 0},39
488,266222,{'Increased blood pressure': 1},39
489,266223,{'Kidney cancer': 1},39
490,266231,{},39
491,266254,{'Bacterial infections': 0},39
492,266258,{'Appetite stimulant': 0},39
493,135189,"{'Eye Irritation': 1, 'Eczema': 0, 'Itching': 1}",39
494,135190,"{'Bacterial infections': 0, 'Others': 0}",39
495,135191,{'Heart failure': 0},39
496,135196,"{'Fungal infections': 14, 'Serious fungal infections': 15}",39
497,135197,{'Stroke': 0},39
498,135198,"{'Epilepsy': 6, 'Others': 0}",39
499,135200,"{'Acidity': 1, 'Heartburn': 2}",39
500,135206,"{'Allergic disorders': 6, 'Anaesthesia': 3, 'Others': 0, 'Asthma': 3}",39
501,135207,{'Type 2 diabetes': 1},39
502,266284,{'Depression': 1},39
503,135227,{'Increased blood pressure': 0},39
504,135230,"{'Others': 1, 'Angina': 1}",39
505,135231,{'Angina': 0},39
506,266309,{'Arthralgia': 1},39
507,135241,{'Vertigo': 0},39
508,135242,{'Acidity': 0},39
509,266319,"{""Alzheimer's disease"": 1}",39
510,135249,{'Type 2 diabetes': 0},39
511,135260,{'Nutritional defeciencies': 1},39
512,135262,"{'Type 1 diabetes': 0, 'Type 2 diabetes': 1}",39
513,135273,{'Type 2 diabetes': 1},39
514,135279,"{'Fever': 1, 'Myalgia': 1, 'Headache': 0, 'Arthralgia': 1}",39
515,135282,"{'Others': 0, 'Myalgia': 0, 'Increased triglycerides levels in blood': 1}",39
516,135283,"{""Parkinson's disease"": 3, 'Others': 0}",39
517,135289,{'Anxiety disorder': 0},39
518,266362,{'Bacterial infections': 1},39
519,266378,{'Fever': 1},39
520,266379,{'Benign prostatic hyperplasia': 1},39
521,135314,{'Bacterial infections': 1},39
522,135323,{'Increased blood pressure': 2},39
523,135324,"{'Gout': 10, 'Others': 2}",39
524,135331,{'Constipation': 1},39
525,266405,{'Infections': 0},39
526,266408,{'Allergic disorders': 1},39
527,135341,{'Increased blood pressure': 0},39
528,266418,{'Amenorrhea': 0},39
529,266425,{'Hyperpigmentation': 1},39
530,135354,"{'Increased blood pressure': 1, 'Heart attack': 2, 'Heart failure': 2}",39
531,266431,{'Others': 0},39
532,135363,{'Type 1 diabetes': 0},39
533,266438,{'Mania': 1},39
534,266439,"{'Cough with mucus': 1, 'Cough': 2}",39
535,135369,"{'Type 2 diabetes': 1, 'Type 1 diabetes': 0}",39
536,135373,{'Teatnus': 1},39
537,135377,{'Fever': 4},39
538,266450,{'Diarrhoea': 2},39
539,266453,{'Local Anaesthesia': 2},39
540,266459,{'Appetite stimulant': 0},39
541,135389,{'Nasal congestion': 1},39
542,135396,"{'Nutritional deficiencies': 3, 'Others': 1}",39
543,135400,"{'Increased blood pressure': 0, 'Diabetic kidney disease': 1, 'Heart failure': 1}",39
544,266479,{'Increased blood pressure': 0},39
545,135409,"{'Parasitic worm infections': 4, 'Others': 0}",39
546,135418,"{'Erectile dysfunction': 1, 'Pulmonary hypertension': 1}",39
547,135426,"{'Chronic obstructive pulmonary disorder': 0, 'Asthma': 1}",39
548,266516,"{'Others': 0, 'Asthma': 0}",39
549,266524,{'Bacterial infections': 1},39
550,266525,{'Increased blood pressure': 1},39
551,135455,"{'Others': 9, 'Benign prostatic hyperplasia': 3}",39
552,135456,"{'Hair loss': 7, 'Others': 1}",39
553,266527,{'Kidney cancer': 0},39
554,135459,"{'Benign prostatic hyperplasia': 1, 'Others': 0}",39
555,135481,{'Type 1 diabetes': 0},39
556,266554,{'Bacterial infections': 0},39
557,135486,{'Type 2 diabetes': 1},39
558,135487,"{'Increased cholesterol levels in blood': 1, 'Increased LDL levels in blood': 1}",39
559,135497,{'Increased blood pressure': 1},39
560,266571,{'Parasitic worm infections': 0},39
561,266578,"{'Abdominal Pain': 2, 'Premenstural syndrome': 2, 'Pain during menstruation': 1, 'Others': 0}",39
562,135513,{'Deep vein thrombosis': 0},39
563,266585,{'Others': 1},39
564,266594,{'Skin disorders': 0},39
565,135524,"{'Skin disorders': 5, 'Allergic disorders': 1}",39
566,135525,"{'Hair loss': 5, 'Others': 0}",39
567,266597,{'Preterm labor': 1},39
568,266599,{'Increased blood pressure': 1},39
